"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"84","2","all_spp_numbers_np","SST x Competitor effect","All","Bering Sea",-0.0226583569635804,-0.0780172189606617,-0.0577916803262053,-0.0221090680324906,0.0114104348921871,0.0327063447097679
"85","2","pink_biomass_np","SST effect","All","West Coast",-0.0853691030679247,-0.152042390329442,-0.127809233001395,-0.0857602120305531,-0.0426836000630247,-0.0192228270312865
"86","2","pink_biomass_np","SST effect","All","Southeast Alaska",0.0575347509320974,-0.0583816162997047,-0.0172137750150405,0.0568668081578364,0.131821630044497,0.181468919683831
"87","2","pink_biomass_np","SST effect","All","Gulf of Alaska",0.0404826072524636,-0.0343902188660601,-0.00682913219807657,0.0418387362402714,0.0859544588417496,0.107177222289473
"88","2","pink_biomass_np","SST effect","All","Bering Sea",0.207804355343718,0.135205614554312,0.161116610229877,0.207520067224952,0.254150831400059,0.279773068646335
"89","2","pink_biomass_np","Competitor effect","All","West Coast",-0.333639184066561,-0.403681399316544,-0.378553327236584,-0.334226353453416,-0.289138757823368,-0.264484926198946
"90","2","pink_biomass_np","Competitor effect","All","Southeast Alaska",-0.103506780246956,-0.267265852754576,-0.205112593938065,-0.103311202676382,-0.00194496996762363,0.0718257821751048
"91","2","pink_biomass_np","Competitor effect","All","Gulf of Alaska",-0.0354323893261827,-0.157755312318278,-0.112721690987356,-0.033975484347165,0.0379980295161821,0.0848839906326983
"92","2","pink_biomass_np","Competitor effect","All","Bering Sea",0.0384151843882013,-0.047403052688458,-0.017498975174207,0.0386134579646186,0.0943968181270177,0.128748553886803
"93","2","pink_biomass_np","SST x Competitor effect","All","West Coast",-0.0703306167111601,-0.127128698701311,-0.105509087868887,-0.0700550444775267,-0.0349799429702416,-0.017563871211811
"94","2","pink_biomass_np","SST x Competitor effect","All","Southeast Alaska",-0.100372695984064,-0.202430877336078,-0.16368402373194,-0.0995435504623917,-0.0355545447398529,-0.0028293394314286
"95","2","pink_biomass_np","SST x Competitor effect","All","Gulf of Alaska",-0.0473799322268625,-0.111138533941903,-0.0865565458590006,-0.0483464554392592,-0.00758560208506091,0.0204094039688167
"96","2","pink_biomass_np","SST x Competitor effect","All","Bering Sea",-0.0152235017228783,-0.073980603226736,-0.0503701607029542,-0.0150237775171108,0.0196666374083695,0.0384263549834685
"97","2","all_spp_biomass_np","SST effect","All","West Coast",-0.0810572233502731,-0.147422116491503,-0.12387835847448,-0.0809034066813735,-0.0393480096951345,-0.0122661320699744
"98","2","all_spp_biomass_np","SST effect","All","Southeast Alaska",0.0286787637642029,-0.0933825883108205,-0.0502321370058244,0.0280823894921371,0.108105517860414,0.156359434730826
"99","2","all_spp_biomass_np","SST effect","All","Gulf of Alaska",0.0159873371554669,-0.0593390698483743,-0.0308568093336051,0.0167980531564241,0.0611899299242964,0.0882085283128216
"100","2","all_spp_biomass_np","SST effect","All","Bering Sea",0.188198054262726,0.108011075208472,0.137936869087857,0.188376515635555,0.237587577095122,0.266998987243807
"101","2","all_spp_biomass_np","Competitor effect","All","West Coast",-0.366355760258058,-0.446078632158009,-0.417436320610198,-0.366364221006255,-0.315546114384023,-0.285923463298079
"102","2","all_spp_biomass_np","Competitor effect","All","Southeast Alaska",-0.0658521113033587,-0.253685470169499,-0.183803456942374,-0.066711893301566,0.0507035632783663,0.129828772028887
"103","2","all_spp_biomass_np","Competitor effect","All","Gulf of Alaska",0.0417807143016473,-0.0998381509099966,-0.0467681069297848,0.0458678486220634,0.121766881079705,0.164977871422165
"104","2","all_spp_biomass_np","Competitor effect","All","Bering Sea",0.102189574799006,-0.00191112302890985,0.0382074293309318,0.102109875196251,0.167371362604289,0.210794111172937
"105","2","all_spp_biomass_np","SST x Competitor effect","All","West Coast",-0.0961990268153027,-0.15350665476699,-0.134140530775376,-0.0966267446248673,-0.0573495841964838,-0.0394026199007801
"106","2","all_spp_biomass_np","SST x Competitor effect","All","Southeast Alaska",-0.0698994819438312,-0.186784621264831,-0.144408470186583,-0.0700028978763132,0.0038495609079184,0.0493459496476106
"107","2","all_spp_biomass_np","SST x Competitor effect","All","Gulf of Alaska",-0.0510125128057709,-0.119753784527808,-0.0952632067282068,-0.0517331306190736,-0.00543887006975644,0.0218880856516327
